,Disease,Description,Symptoms,Symptoms+Description
1753,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1754,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1755,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1756,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1757,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1758,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1759,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1760,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1761,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1762,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1763,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1764,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1765,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1766,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1767,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1768,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1769,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1770,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1771,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1772,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1773,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1774,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1775,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1776,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1777,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1778,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1779,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1780,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1781,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1782,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1783,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1784,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1785,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1786,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1787,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1788,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1789,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1790,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1791,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1792,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1793,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1794,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1795,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1796,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
1797,Common Cold,"common cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold.","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_pain","continuous_sneezing, chills, fatigue, cough, high_fever, headache, swelled_lymph_nodes, malaise, phlegm, throat_irritation, redness_of_eyes, sinus_pressure, runny_nose, congestion, chest_pain, loss_of_smell, muscle_paincommon cold viral infection nose throat (upper respiratory tract). usually harmless, although might feel way. many type virus cause common cold."
